"City","RateMDs","NumHospitals","RateBeds","NumMedicare","PctChangeMedicare","MedicareRate","NumRetired","SSINum"
"Holland-Grand Haven, MI",140,3,127,29533,8.3,11835,23165,2070
"Louisville, KY-IN",340,18,328,173845,3,14606,118920,29017
"Battle Creek, MI",184,3,372,22972,2.4,16539,16645,4095
"Madison, WI",510,7,279,60530,5.2,11528,47085,6492
"City, State",0,5,0,5,0,0,0,0
"City, State",3,1421,0,0,0,98765,0,0
"Fort Smith, AR-OK",179,8,348,45185,4.6,16146,29415,9313
"Sarasota-Bradenton-Venice, FL",371,7,299,161625,2.5,25474,129855,7559
"Anderson, IN",153,2,176,22828,1.1,17408,17040,2717
"Honolulu, HI",389,13,242,126752,5.2,14188,99140,16226
"Asheville, NC",389,5,317,76397,5.1,19970,56820,8641
"Winston-Salem, NC",462,6,435,66298,6,15165,50440,7878
"Springfield, IL",505,2,500,31300,1.8,15300,23275,4734
"Lakeland, FL",187,4,233,93608,5,18324,73255,14071
"Sacramento--Arden-Arcade--Roseville, CA",290,15,181,245669,8.3,12436,167300,68111
"Green Bay, WI",224,5,229,37330,4.6,12790,28605,3866
"Myrtle Beach-Conway-North Myrtle Beach, SC",199,3,271,33827,12.8,16031,29905,4429
"Charleston, WV",324,6,419,58627,3,19075,35070,11931
"Janesville, WI",215,3,254,22752,4.2,14683,17825,2960
"Raleigh-Cary, NC",229,6,196,85016,11,9579,62375,13388
"Providence-New Bedford-Fall River, RI-MA",307,15,221,261178,0.7,16091,193780,48355
"Pueblo, CO",279,2,364,25964,3.5,17424,15630,4900
"Beaumont-Port Arthur, TX",185,10,369,58169,1.4,15193,38030,10598
"Trenton-Ewing, NJ",411,6,359,52272,1.1,14472,38370,7578
"Lewiston, ID-WA",245,2,338,11311,6.1,19411,8095,1495
"Odessa, TX",207,2,356,15937,4.2,12953,10020,3501
"Scranton--Wilkes-Barre, PA",254,14,387,115273,-2.2,20855,85525,15062
"Oxnard-Thousand Oaks-Ventura, CA",239,7,171,91182,7.3,11534,66365,15092
"Victoria, TX",217,3,581,16135,4.9,14279,11045,2794
"Hot Springs, AR",326,3,510,23127,2.6,25361,16325,2692
"Decatur, IL",257,2,444,20177,0.9,18124,14320,3063
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",267,17,285,244892,-2.1,14164,187475,31563
"Springfield, OH",166,2,274,24374,0.6,17066,16120,3549
"Springfield, IL",505,2,500,31300,1.8,15300,23275,4734
"Morgantown, WV",743,4,641,15026,2,13239,9965,2788
"Idaho Falls, ID",210,2,278,12830,7.4,11939,9775,1622
"Minneapolis-St. Paul-Bloomington, MN-WI",305,32,200,330821,4.6,10724,254260,41751
"Lawton, OK",213,2,403,13205,5.2,11972,9070,2520
"Anderson, IN",153,2,176,22828,1.1,17408,17040,2717
"Charleston, WV",324,6,419,58627,3,19075,35070,11931
"Indianapolis, IN",386,18,312,190606,4.5,11907,144260,22070
"Spartanburg, SC",234,3,239,41603,6,15891,28770,6099
"Brownsville-Harlingen, TX",152,5,269,38107,5.6,10516,24875,17613
"Huntsville, AL",237,4,272,46661,10.6,13048,32920,7757
"Hanford-Corcoran, CA",104,3,102,11430,7.4,8240,7760,4377
"Reno-Sparks, NV",314,5,271,45320,12.7,12094,36230,4822
"Augusta-Richmond County, GA-SC",204,9,359,67240,5.7,13173,47615,14179
"Visalia-Porterville, CA",135,3,188,42622,4.1,10898,29935,17503
"Duluth, MN-WI",297,11,567,49355,0.5,17860,33770,6318
"Shreveport-Bossier City, LA",453,9,590,55367,2.8,14622,36760,13800
"Little Rock-North Little Rock, AR",441,14,478,84220,6.5,13383,60350,15323
"Baton Rouge, LA",227,13,288,80643,5.7,11178,50580,19953
"Pocatello, ID",217,2,445,10306,4.7,12439,6775,1583
"Yuba City, CA",183,2,144,20038,5.2,13515,13260,7185
"Binghamton, NY",272,2,265,46273,1.2,18465,35075,6612
"Kennewick-Richland-Pasco, WA",185,4,205,22589,7.4,10746,17070,3226
"Kankakee-Bradley, IL",174,2,419,16616,2.1,15636,11075,2553
"Barnstable Town, MA",368,2,134,57608,2.6,25149,45965,3372
"Worcester, MA",355,10,211,112188,0.2,14461,80890,18941
"Fayetteville-Springdale-Rogers, AR-MO",188,8,227,50698,5.2,13396,37530,5787
"Flagstaff, AZ",267,2,220,14208,10.7,11725,7485,3052
"Binghamton, NY",272,2,265,46273,1.2,18465,35075,6612
"New Orleans-Metairie-Kenner, LA",460,23,435,179082,2.7,13610,111380,49528
"Boise City-Nampa, ID",234,6,208,56800,10.1,11102,43575,7377
"Medford, OR",316,3,283,33915,6,17816,26530,3133
"Bakersfield, CA",157,10,210,78689,6.4,11029,52445,30476
"La Crosse, WI-MN",448,2,377,18833,2.7,14656,14520,2165
"Altoona, PA",267,5,368,25027,0.6,19634,16115,4606
"Warren-Farmington Hills-Troy, MI Metropolitan Division",330,23,205,325382,3.8,13237,245850,29404
"Ogden-Clearfield, UT",163,4,153,44492,7.5,9491,32330,3982
"Trenton-Ewing, NJ",411,6,359,52272,1.1,14472,38370,7578
"Buffalo-Niagara Falls, NY",351,14,447,207164,-0.7,17889,147130,30670
"Florence-Muscle Shoals, AL",193,3,389,26830,5.1,18923,17685,4691
"Winston-Salem, NC",462,6,435,66298,6,15165,50440,7878
"Midland, TX",188,2,314,14662,5.3,12335,10785,2141
"Clarksville, TN-KY",154,3,155,26365,6.6,11160,18670,5496
"Salt Lake City, UT",352,12,202,88603,5.1,8811,67300,9802
"Midland, TX",188,2,314,14662,5.3,12335,10785,2141
"Wilmington, NC",308,4,303,49311,11.2,16785,37940,6725
"Oklahoma City, OK",288,21,328,140357,4.4,12385,105815,20139
"Nashville-Davidson--Murfreesboro, TN",371,23,328,162946,6.4,11875,119985,23170
"Las Cruces, NM",174,2,172,22166,9.8,12142,15535,5936
"Oakland-Fremont-Hayward, CA Metropolitan Division",308,19,218,280877,2.4,11424,190815,72225
"Wichita, KS",260,11,343,78040,2.3,13405,58535,9095
"Knoxville, TN",358,9,367,101631,5.2,15864,71635,15177
